Blog Titles,Blog Content
করোনা সংক্রমণ রোধে রেস্তোরাঁয় কাচের ঘর,"করোনাভাইরাসের কারণে বদলে গেছে গোটা বিশ্ব। এই ভাইরাসের সংক্রমণ ঠেকাতে সামাজিক দূরত্ব বাজায় রাখতে ব্যতিক্রমী উদ্যোগ নিয়েছে নেদারল্যান্ডস।,দেশটিতে সামাজিক দূরত্ব বজায় রাখতে রেস্তোরাঁয় তৈরি করা হয়েছে কাচঘেরা ঘর। ,দেশটির রাজধানী আমস্টারডামের একটি রেস্তোরাঁ সামাজিক দূরত্ব বজায় রেখে বাইরে খাওয়ার জন্য এ ব্যবস্থা করা হয়েছে। তা হলো– আমস্টারডামে রেস্তোরাঁয় কাচের ঘর।,আমস্টারডামের ‘মিডিয়াম্যাটিক ইতেন’ নিরামিষ রেস্তোরাঁ হিসেবে সুপরিচিত। মানসম্পন্ন ও সুস্বাদু খাবারের জন্য রয়েছে বেশ পরিচিতি। ,প্রতিটি বুথে দুই-তিনজনের বসার ব্যবস্থা রাখা হয়েছে। সম্প্রতি রেস্তোরাঁটির কর্মীদের পরিবার ও বন্ধুদের এনে পরীক্ষামূলকভাবে তা চালানো হচ্ছে।,আমস্টারডামে রেস্তোরাঁয় কাচে ঘেরা ঘরটি দেখতে বেশ আরামদায়ক। প্রিয়জন কিংবা বন্ধুদের সঙ্গে আড্ডা দেয়ার জন্য বেশ পরিপাট্টি জায়গা। এর মাধ্যমে নৈশভোজ নিরাপদ হবে বলে আশা করা হচ্ছে।,সংক্রমণের ঝুঁকি এড়াতে ওয়েটাররা গ্লাভস ও ফেস শিল্ডে মুখ ঢেকে কাচের ঘরে খাবার পরিবেশনের জন্য ব্যবহার করছেন লম্বা বোর্ড। ,ফলে খাবার শেষে বাইরে তিন ফুট দূর থেকে বাসন-গ্লাসসহ বর্জ্য তুলে নেয়া যাচ্ছে। ,তথ্যসূত্র: রয়টার্স,"
ঝড়ের সময় যেসব বিষয়ে সতর্ক থাকুন,"গ্রীষ্মকালে প্রতি বছর ঝড়বৃষ্টি ও বর্জপাত হয়ে থাকে। বর্জপাতের সময় ক্ষতি ও অনেকের মৃত্যুও হয়। তাই নিরাপদে থাকতে ঝড়ের সময় সতর্ক থাকতে হবে। ,ঝড়বৃষ্টি-বজ্রপাত শুরু হলে কী করবেন?,১. ঝড় শুরু হলে নিরাপদ আশ্রয়ে যেতে হবে। ঘন ঘন বজ্রপাতের সময় খোলা বা উঁচু জায়গায় না থেকে দালানের নিচে আশ্রয় নিন। ,২. বজ্রপাতের সময় আশপাশের ধাতব পদার্থকে আকর্ষণ করে। সঙ্গে ধাতব বস্তু যেমন– আংটি, চাবি, কাস্তে, কোদাল ও মোবাইল রাখবেন না।,৩. ঝড়ের সময় ঘরের জানালার গ্রিল থেকে দূরে থাকুন।,৪. সব ধরনের বিদ্যুতের সুইচ বন্ধ রাখুন। এই সময়ে কোনো কিছু চার্জ দেবেন না। ,৫. ঝড়ের সময় চার্জ দেয়া অবস্থায় মোবাইল ফোনে কথা বলবেন না।,৬. বাইরে থাকলে উঁচু গাছপালা ও বিদ্যুতের লাইন থেকে দূরে থাকুন।,৭. বজ্রপাতের সময় টিভি-ফ্রিজ বৈদ্যুতিক সংযোগযুক্ত সব যন্ত্রপাতি স্পর্শ করা থেকে বিরত থাকুন। টিভি, ফ্রিজ সংযোগ বন্ধ রাখুন।
 
৮. বজ্রপাতের সময় গাড়ির ভেতরে থেকে নিরাপদ স্থানে চলে যান। ,৯. বজ্রপাতের সময় চামড়ার ভেজা জুতা বা খালি পায়ে থাকা খুবই বিপজ্জনক। রবারের গামবুট এ ক্ষেত্রে সবচেয়ে ভালো কাজ করবে।,"
মুখের ক্ষত সারানোর ঘরোয়া উপায়,"মুখগহ্বরের অনেক ধরনের সমস্যায় ভুগে থাকি আমরা। নানাবিধ কারণে মুখের ক্ষত ও আলসারের সমস্যা হতে পারে। মুখের ক্ষত সারাতে আছে ঘরোয়া কিছু উপায়। ,স্বাস্থ্যবিষয়ক একটি ওয়েবসাইটে প্রকাশিত প্রতিবেদন মুখের সমস্যার বিষয়ে গুরুত্বপূর্ণ অনেক তথ্য জানানো হয়েছে।  ,আসুন জেনে নিই মুখের ক্ষত সারানোর ঘরোয়া উপায়-,১. মুখের আলসার রোধে মধু খুব ভালো কাজ করে। এতে থাকা অ্যান্টিবায়োটিক উপাদান আক্রান্ত স্থান আর্দ্র রেখে এবং শুষ্কতার হাত থেকে রক্ষা করে। এতে এক চিমটি কাঁচাহলুদ ব্যবহার করলে আরও ভালো ফল পাওয়া যায়।,২. নারিকেল তেল প্রদাহ ও ব্যাক্টেরিয়া রোধী, যা ঘরোয়া ওষুধ হিসেবে কাজ করে। এটি ব্যথা কমাতে দিনে কয়েকবার ব্যবহার করতে পারেন। আক্রান্ত স্থানে জমাট বাঁধানো আধা চামচ নারিকেল তেল ব্যবহার করলে আরাম পাবেন।
 
৩. অ্যালোভেরার জেলব্যথা কমায়। এর রস মুখে নিয়ে দিনে দুবার কুলকুচি করলে আলসারের কারণে হওয়া ব্যথা কমে যায়। ,৪. মুখের ভেতরে ব্যথা, ফোলাভাব কমাতে লবণপানি দিয়ে ব্যবহার করতে পারে। ,ক্ষত সারাতে ও ব্যাক্টেরিয়া কমাতে লবণ খুবই উপকারী। মুখ পরিষ্কার করতে ও ব্যাক্টেরিয়ার জন্য মুখের দুর্গন্ধ রোধ করতে লবণপানি। লবণপানি দিয়ে দিনে দুবার মুখ কুলকুচি করুন।,৫. রসুনে রয়েছে প্রাকৃতিক অ্যান্টিমাইক্রোবিয়াল, যা দাঁতের ব্যথা দূর করে। এতে আছে অ্যালিসিন নামক উপাদান, যা দাঁতের ব্যথা ও ফোলাভাব কমায়। এক কোষ রসুন মুখের আক্রান্ত স্থান ঘষুণ। দিনে দুবার ব্যবহারে ভালো ফল পাওয়া যাবে।  ,"
বাজারে কোন আম কখন পাবেন,"বাজারে পাওয়া যাচ্ছে পাকা আম। বাজার থেকে পাকা আম কেনার আগে কিছু বিষয় অবশ্যই খেয়াল রাখবেন।
 
আমের রয়েছে অনেক জাত। অনেকেই জানি না তা কোন সময় বাজারে পাওয়া যায়। অনেক সময় আম কিনতে গেলে সন্দেহ হয়। আম আসলে পাকা কিনা।  ,এই সময়ে বেশিরভাগ আম ক্ষতিকর রাসায়নিক দিয়ে পাকানো হয়ে থাকে। বাজারে আম কিনতে গেলে আম ওপরে দেখে বোঝার উপায় নেই পাকা নাকি কাঁচা। ,আর কেমিক্যাল দিয়ে পাকানো আম স্বাস্থ্যের জন্য ক্ষতিকর। এই কেমিক্যাল শরীরে গেলে ত্বকের ক্যান্সার, কোলন ক্যান্সার, জরায়ুর ক্যান্সার, লিভার ও কিডনির সমস্যা, মস্তিষ্কের ক্ষতির মতো মারাত্মক রোগ হতে পারে। ,পাকা আম চেনার সবচেয়ে সহজ উপায় হচ্ছে– বেশি চকচকে দেখায় এমন আম কিনবেন না। গাছপাকা আমের মিষ্টি গন্ধ থাকে। ,পুষ্টিকর ভালো আম পেতে চাইলে ফলের মৌসুমের আগে কিনবেন না। আম খাওয়ার আগে কিছুক্ষণ পানি দিয়ে ভিজিয়ে রাখুন। ,আসুন জেনে নিই আম পাড়ার সরকারিভাবে নির্ধারণ হওয়া তারিখ সমূহ-,১. সব প্রকার গুটি আম ১৫ মে,২. গোপালভোগ ২০ মে,৩. লক্ষণভোগ ২৫ মে,৪. রানিপছন্দ ২৫ মে,৫. হিমসাগর ২৮ মে,৬. ল্যাংড়া ৬ জুন,৭. আম্রপালি ১৫ জুন,৮. ফজলি ১৫ জুন,৯. আশ্বিনা ১০ জুন,১০. বায়ী আম-৪  ১০ জুলাই,"
ডায়াবেটিক রোগীদের আম খাওয়ার নিয়ম,"এসে গেছে মধু মাস জ্যৈষ্ঠ। বিভিন্ন সুস্বাদু ফলের সমারহ সবচেয়ে বেশি দেখা যায় এ মাসেই। কাঠাঁল, তরমুজ, বাঙ্গি, আনারস, বেল, জামরুলসহ আরো কত রকমের ফলই না পাওয়া যায় মধু মাস জ্যৈষ্ঠে। সব ধরণের ফলের মধ্যে সবচেয়ে সুস্বাদু এবং লোভনীয় ফল আম। আম পছন্দ করে না এমন ব্যক্তি পাওয়া খুব মুশকিল।,ছোট থেকে শুরু করে বয়স্ক ব্যক্তি সবার পছন্দের তালিকায় থাকে এই ফলটি। আম একদিকে যেমন সুস্বাদু, অন্যদিকে এর পুষ্টিগুণও কম নয়। কিন্তু এসময় প্রায় সকলের মনে একটাই প্রশ্ন ঘুরপাক খায়। তা হল- ডায়বেটিক রোগীরা কি আম খেতে পারবে? এর উত্তর- হ্যাঁ, অবশ্যই পারবে, কেন পারবে না? তবে সেক্ষেত্রে এই আম খেতে হবে কিছু নিয়ম মেনে, সঠিক পরিমাণে এবং সঠিক সময়ে।,ডায়াবেটিক রোগীদের সব সময় সেসব খাবার খেতে বলা হয়, যেগুলো Low Glycemic Index-এর অন্তর্ভুক্ত। আম তেমনি একটি ফল। আমে রয়েছে এন্টিওক্সিডেন্ট, ফ্রুক্টোজ, গ্লুকোজ এবং খাদ্য আঁশ। এই খাদ্য আঁশ এবং এন্টিওক্সিডেন্ট  রক্তের গ্লুকোজের মাত্রা নিয়ন্ত্রণ করে, সেই সঙ্গে ব্লাড গ্লুকোজকে বাড়তে দেয় না। আমে বিদ্যমান ভিটামিন এ এবং সি রোগ প্রতিরোধ ক্ষমতা বাড়ানোর পাশাপাশি বিভিন্ন ইনফেকশন প্রতিরোধ করে। এছাড়া ভিটামিন কে, বি ভিটামিন্স, ফোলেট, ভিটামিন ই-ও আমাদের বিভিন্ন রোগ থেকে রক্ষা করে।,আমে প্রচুর পরিমাণে পটাশিয়াম থাকার কারণে ব্লাড প্রেসার নিয়ন্ত্রণসহ হার্ট ভালো রাখে। খাবার পরিপাকের জন্য প্রয়োজনীয় এনজাইম, পানি, খাদ্য আঁশ ও অন্যান্য উপাদান থাকার কারণে এটি আমাদের পরিপাকতন্ত্রের জন্যও উপকারি।,আমে বিদ্যমান ভিটামিন চোখের জন্যও খুব উপকারি। আমে যে পরিমাণ সুগার রয়েছে তা থেকেই প্রায় ৮০-৯০% ক্যালরি পাওয়া যায়। যদিও আমে শর্করা এবং সুগার রয়েছে, তাই বলে একেবারে আম খাওয়া যাবে না এমনটি নয়। একটু সতর্কতার সঙ্গে ডায়বেটিক রোগী তাদের খাদ্য তালিকায় আম রাখতে পারবেন।,ডায়েবেটিক রোগীদের আম খাওয়ার নিয়ম,আম খাওয়ার ক্ষেত্রে সবচেয়ে গুরুত্বপূর্ণ বিষয় পরিমাণ। আমের পরিমাণের ওপর আপনার ব্লাড গ্লুকোজ অনেকটা নির্ভর করবে। ছোট টুকরো করে কাটা ১/২ কাপ পরিমাণ আম খাওয়া যেতে পারে। একবারে অনেক বেশি পরিমাণ খাওয়া যাবে না। দৈনিক বরাদ্দকৃত শর্করার সঙ্গে সামঞ্জস্য রেখে পরিমাণ ঠিক রাখতে হবে। ব্লাড গ্লুকোজ সব সময় পর্যবেক্ষণ করতে হবে। ১/২ কাপ পরিমাণ আম থেকে ১০-১৩ গ্রাম এর মত শর্করা পাওয়া যাবে। তাই একবারে অতিরিক্ত পরিমাণ না খেয়ে অল্প অল্প করে খাওয়া নিরাপদ। ২-৩ স্লাইস আম অন্তত ৩ দিনের হিসেব করে খাওয়া ভালো।,এছাড়া ডায়বেটিক রোগীর জন্য সময় মেনে খাবার খাওয়া খুব গুরুত্বপূর্ণ। সাধারণত দিনের বেলা আম খেলে এর মধ্যে যে ক্যালরি রয়েছে তা সারা দিনের কাজের মাধ্যমে নিঃশেষ হয়ে যায়। তাই সন্ধ্যা বা রাতে আম না খেয়ে, সকাল বা মধ্য সকালের নাশতায় আম খাওয়া ভালো। রোজায় ডায়বেটিক রোগী সেহেরীতে আম খেতে পারেন।,আমের জুস বা স্মুদি না খেয়ে ফ্রেস আম খাওয়ার দিকে গুরুত্ব দিতে হবে। জুস বা স্মুদিতে খাদ্য আঁশের ঘাটতি থাকে। অন্যদিকে গোটা আম থেকে পাওয়া যাবে খাদ্য আঁশ যা ডায়বেটিক রোগীর জন্য উপকারি। অন্যান্য সাইট্রাস ফলের সঙ্গে মিশিয়ে ফ্রুট সালাদ করেও খেলে মন্দ হয় না।,ডায়বেটিক রোগীরা আমের সঙ্গে একটু প্রোটিন জাতীয় খাবার যেমন- লো ফ্যাট দুধ, বাদাম বা সিদ্ধ ডিম যুক্ত করতে পারেন। যা আপনার ব্লাড গ্লুকোজ নিয়ন্ত্রণে সাহায্য করবে। অনেকে চাইলে কাঁচা আমও খেতে পারেন। তবে বাড়তি চিনি যোগ করা যাবে না।,বিভিন্ন গবেষণায় দেখা গেছে, খাবার গ্রহণের সময় ঠিক রেখে, সঠিক পরিমাণে পুষ্টিকর খাবার খেলে এবং শর্করার সঙ্গে সামঞ্জস্য রেখে আম খেলে তা ডায়বেটিক রোগীর জন্য অনেক ক্ষেত্রেই উপকারি। শরীরে কম পানি থাকা মানেই রক্তে গ্লুকোজের পরিমাণ বেশি থাকা। তাই পর্যাপ্ত পানি পান জরুরি। ডায়বেটিক রোগীরা খাদ্য তালিকা থেকে আম একেবারেই বাদ না দিয়ে বরং একটু সতর্কতার সঙ্গে অর্থাৎ Moderation- এর মাধ্যমে আম খেতে পারবেন। তাই মন থেকে সমস্ত ভয় ও সংশয় দূর করে, কিছু নিয়ম মেনে আমের স্বাদটুকু নিন। সেই সঙ্গে অবশ্যই ঔষধ ও কিছুটা শারীরিক পরিশ্রমের সমন্বয় করে চলার চেষ্টা করুন।,লেখক: জান্নাত আরা ঊর্মি,নিউট্রিশনিস্ট অ্যান্ড ডায়েট কনসালটেন্ট, জে বি ডায়গনস্টিক কমপ্লেক্স, খুলনা,"
গরমে সুস্থ থাকতে যেসব ফল খাবেন,"বাইরে প্রচণ্ড দাবদাহ। ঘরে থেকেই শরীর দিয়ে দর দর করে ঘাম ঝরছে। সারা দিন রোজা রাখার পর সন্ধ্যায় শরীরে পানিশূন্যতা দেখা দেয়।  ,প্রচণ্ড গরমে শরীরে পানিশূন্যতা পূরণে পাতে রাখুন ৫ ফল। ,যেসব ফল গরমে সুস্থ রাখে শরীর,তরমুজ,গরমে শরীরকে ঠাণ্ডা করে পানির চাহিদা পূরণ করে তরমুজ। এই ফলে প্রচুর পরিমাণে পানি থাকে, যা খেলে পেটও ভরে যায়। এতে থাকা লাইকোপিন ত্বককে সূর্যরশ্মির হাত থেকে রক্ষা করে।,টমেটো ,টকটকে লাল ফল টমেটোতে রয়েছে অ্যান্টিঅক্সিডেন্ট ও ভিটামিন। এ ছাড়া লাইকোপিনের মতো গুরুত্বপূর্ণ ফাইটোকেমিক্যালসও থাকে এই ফলে, যা আপনার ক্রনিক রোগ ও ক্যান্সারের রোগীদের জন্য উপকারি।   ,কমলালেবু ,কমলালেবুর মধ্যে প্রচুর পরিমাণে পটাশিয়াম থাকে, যা গরমে শরীরের জন্য খুবই উপকারী। এতে প্রায় ৮০ শতাংশ পানি থাকে। আপনার মাংসপেশিকেও স্টেজ রাখতে সাহায্য করে এই কমলালেবু।  ,টকদই ,প্রোটিনে ভরপুর টকদই খেতে পারেন গরমে। এই খাবারে থাকা প্রোটিন আপনার খিদে মেটায়, শরীরের প্রয়োজনীয় প্রোটিনের চাহিদা মেটায় ও খাদ্য পরিপাক্বেও সাহায্য করে।
  
লেবুর রসের সঙ্গে পুদিনার পানি ,এক গ্লাস পুদিনার পানির মধ্যে দুই ফোঁটা লেবুর রস দিয়ে খেতে পারেন। এই পানীয় লিভার পরিষ্কার করবে ওমেটাবোলিজমকেও দৃঢ় করে তোলে।  ,তথ্যসূত্র: এনডিটিভি,"
করোনাভাইরাস: নতুন ২ ওষুধ নিয়ে শিগগিরই আসতে পারে সুসংবাদ,"করোনা সংক্রমণ ঠেকাতে হাইড্রোক্সিক্লোরোকুইন নিয়ে কাজ করছেন অক্সফোর্ড বিশ্ববিদ্যালয়র গবেষকরা।,সম্প্রতি পরীক্ষামূলক প্রয়োগের জন্য অক্সফোর্ডে হাইড্রোক্সিক্লোরোকুইন আর অ্যাজিথ্রোমাইসিন নিয়ে পরীক্ষা-নিরীক্ষা শুরু করেছেন তারা।,করোনা আক্রান্তদের শরীরে পরীক্ষামূলকভাবে এই ওষুধ প্রয়োগ করা হবে। এ ছাড়া ৫০০-এর বেশি কার্যালয়ের চিকিৎসক, স্বাস্থ্যকর্মীদের ওপরে এই পরীক্ষা চালানো হবে বলে জানা গেছে।,হাইড্রোক্সিক্লোরোকুইন ভারতে সহযোগী ওষুধ হিসেবে করোনার বিরুদ্ধে কাজ করলেও মার্কিন রিপোর্ট অনুযায়ী, দেশটিতে এই ওষুধ তেমন একটা প্রভাব ফেলতে পারেনি। বরং অনেক রোগীর অবস্থা আরও সংকটাপন্ন হয়েছে। তাই মার্কিন বিজ্ঞানীদের থেকে ছাড়পত্র পায়নি ভারতের পাঠানো এই ওষুধ।,অক্সফোর্ড বিশ্ববিদ্যালয় জানিয়েছে, এই ভাইরাসের সংক্রমণ রোধে হাইড্রোক্সিক্লোরোকুইন ব্যবহার করা হলেও অ্যাজিথ্রোমাইসিন ব্যবহার করা হয় ব্যাকটেরিয়াঘটিত সংক্রমণ ঠেকাতে।,এই ভাইরাসের চিকিৎসায় এই দুই ওষুধ কতটা কার্যকরী হতে পারে তা জানার জন্য পরীক্ষামূলক প্রয়োগ করা হবে।,বিশ্ববিদ্যালয়ের পক্ষ থেকে জানানো হয়েছে, বিশেষ করে যাদের বয়স পঞ্চাশের বেশি, তাদেরই এ পরীক্ষার জন্য বেছে নেয়া হতে পারে।,গবেষকরা জানিয়েছেন, এক সপ্তাহে এ দুই ওষুধ নির্দিষ্ট পরিমাণে প্রয়োগের পর ভাইরাসের সংক্রমণ ঠেকাতে কতটা সক্ষম তা দেখা হবে। এই পরীক্ষার ফলের ওপর ভিত্তি করেই এই ওষুধ প্রয়োগের বিষয়ে সিদ্ধান্ত নেয়া হবে।,তথ্যসূত্র: জিনিউজ,"
করোনাভাইরাস কোথায় কতক্ষণ বাঁচে,"করোনাভাইরাসের সংক্রমণ ঠেকাতে বিশ্ব স্বাস্থ্য সংস্থার স্বাস্থ্যবিধি মেনে চলছেন বেশিরভাগ মানুষ। তবে এই ভাইরাস কোথায় কতক্ষণ বেঁচে থাকতে পারে তা অনেকেরই জানা নেই।    ,সম্প্রতি যুক্তরাষ্ট্রে ন্যাশনাল ইনস্টিটিউট অব হেলথের একজন ভাইরোলজিস্ট নিলৎজে ফান ডোরমালেন তার সহকর্মীদের নিয়ে এ বিষয়ে একটি গবেষণা চালিয়েছেন।  ,গবেষণা শেষে তিনি জানিয়েছেন, কোভ-২ বা সার্স ভাইরাস কতক্ষণ বেঁচে থাকতে পারে।,করোনাভাইরাস কতক্ষণ ও কোথায় জীবিত থাকতে পারে,১. করোনাভাইরাস দরজার হাতল, লিফটের বাটন এবং কিচেন ওয়ার্কটপের মতো শক্ত জিনিসের গায়ে প্রায় ৪৮ ঘণ্টা টিকে থাকতে পারে। ,২. কার্ডবোর্ডের মতো শক্ত জিনিসের ওপর ২৪ ঘণ্টা আর প্লাস্টিকের জিনিসের গায়ে দুই থেকে তিন দিনও বেঁচে থাকতে পারে। ,৩. কাপড়ের মতো নরম জিনিসের গায়ে এই ভাইরাস খুব কম সময় বেঁচে থাকে। ,৫. ভাইরাসটি লেগে আছে এ রকম জিনিসে শুধু স্পর্শ করলেই আপনি আক্রান্ত হবেন না। যদি না স্পর্শ করা হাত দিয়ে মুখ, নাক অথবা চোখ স্পর্শ করেন। ,সংক্রমণ রোধে যা করবে,করোনাভাইরাসের সংক্রমণ ঠেকাতে ২০ সেকেন্ড সময় নিয়ে বারবার সাবানপানি দিয়ে হাত ধুতে হবে। বাইরে থাকলে সঙ্গে অবশ্যই হ্যান্ড স্যানিটাইজার রাখুন, মাস্ক ব্যবহার করুন ও সামাজিক দূরত্ব বজায় রাখুন।  ,"
ইফতারে মুখরোচক চিকেন শাসলিক,"ইফতারে মুখরোচক কিছু খেতে চাইলে খাবার তালিকায় রাখতে পারেন চিকেন শাসলিক। সুস্বাদু এ খাবারটি তৈরি করতে পারেন ঘরেই। ,আসুন জেনে নিই কীভাবে তৈরি করবেন চিকেন শাসলিক।,চিকেন শাসলিক,উপকরণ,মোরগ এক কেজি, আদার রস এক চা চামচ, রসুনের রস এক চা চামচ, মরিচ গুঁড়া দুই চা চামচ, গোলমরিচ গুঁড়া এক চা চামচ, মাস্টারড পেস্ট এক চা চামচ, ওয়েস্টার সস দুই চা চামচ, চিনি এক চা চামচ, টকদই কোয়ার্টার কাপ, সরিষার তেল চার টেবিল চামচ, লবণ স্বাদ অনুযায়ী, বাটার অয়েল তেল ভাজার জন্য, মটো, বড় পেঁয়াজ, ক্যাপসিকাম, টুথপিক অথবা কাঠি।,যেভাবে করবেন ,মোরগের মাংস হাড় ছাড়িয়ে ছোট চারকোনা আকারে টুকরো করতে হবে। মাংসের সঙ্গে লবণ, সব মসলা ও তেল মিশিয়ে ৩০ মিনিট ভিজিয়ে রাখতে হবে। ক্যাপসিকাম, টমেটো (বিচি ফেলে) চারকোণা টুকরো করে পেঁয়াজ লম্বায় দু’ভাগ করে ভাঁজে ভাঁজে খুলে নিতে হবে। ,কাঠিতে মাংস, টমেটো, মাংস পেঁয়াজ, মাংস ক্যাপসিকাম এভাবে পর পর গেঁথে নিতে হবে। পরে ফ্রাইং পেন/তাওয়ায় সেঁকা তেলে ভেজে নিতে হবে।,"
গাজরের পায়েস খেলে যত উপকার,"গাজর খেতে যেমন সুস্বাদু, তেমনই এর স্বাস্থ্যগত ও পুষ্টিগত উপকারিতার জুড়ি নেই। গাজর শরীরে রোগ প্রতিরোধ ক্ষমতা বাড়ায়। এতে থাকা অ্যান্টিঅক্সিজেন্ট বিভিন্ন রোগ সংক্রামক থেকে শ্বাস-প্রশ্বাস পদ্ধতিকে নিরাপদে রাখে।,গাজরে রয়েছে প্রচুর পরিমাণে ভিটামিন এ, ভিটামিন সি, ডি, ই, কে, বি১ এবং ভিটামিন বি৬। এছাড়াও এতে রয়েছে প্রচুর বায়োটিন, পটাসিয়াম, ক্যালসিয়াম, ম্যাগনেসিয়াম, ফসফরাস, অর্গানিক সোডিয়াম এবং অন্যান্য খনিজ উপাদান।,গাজরের পুষ্টিগুণ ,১. গাজরের অত্যাবশ্যকীয় ক্ষারীয় উপাদান রক্তের অম্লতা ও সুগারের সামঞ্জস্য বিধান করে। এ ছাড়া রক্তে বিষক্রিয়ার ফলে সৃষ্ট হয় মুখব্রণ। গাজরের বিভিন্ন ফল উৎপাদক পুষ্টি উপাদান মুখব্রণ প্রতিরোধে সহায়তা করে।,২. গাজরের জুস নিয়মিত পান করলে হৃদরোগ ও স্ট্রোক প্রতিরোধ করে।,৩. প্রতিদিন খাবারের সঙ্গে একটি করে গাজর খেলে ক্যান্সারের ঝুঁকি দূর করে।,৪. গাজরের সার বস্তু রক্তের জলীয় ভাগ এবং কোলেস্টেরলের মাত্রা কম রাখে।,৫. গাজারে থাকা অ্যান্টিঅক্সিজেন্ট বিভিন্ন রোগ সংক্রামক থেকে শ্বাস-প্রশ্বাস পদ্ধতিকে নিরাপদে রাখে।,যেভাবে তৈরি করবেন গাজরের পায়েস,উপকরণ,গাজর কুচি ১ কাপ, চিনিগুঁড়া চাল হাফ কাপ, দুধ ২ লিটার, ঘি ১ টেবিল চামচ, মাওয়া হাফ কাপ, এলাচ ও দারুচিনি ৪টি, চিনি পরিমাণমতো।,যেভাবে করবেন ,গাজর কুচি করে ঘি দিয়ে ভেজে নিতে হবে। দুধে চাল দিয়ে ফুটাতে হবে। চাল ফুটে এলে চিনি ও গাজর দিতে হবে। ভালো করে ফুটে এলে মাওয়া দিতে হবে। ঘন হয়ে এলে নামাতে হবে।,সতর্কতা ,যাদের রক্তে সুগার কম তারা দিনে সর্বোচ্চ ২ থেকে ৩টি করে গাজর খেতে পারেন। আর ডায়াবেটিস রোগীরা দিনে অর্ধেক পরিমাণ গাজর খেতে পারেন।, ,,"
