Blog Titles,Blog Content
আর্থ্রাইটিস: হাঁটু বা শরীরের জয়েন্টে ব্যথা বা বাত ব্যথা কেন হয়? লক্ষণ কী? এরকম ব্যথা কমানোর উপায় কী?,
কৃত্রিম বুদ্ধিমত্তার সাহায্যে ভারতে সহজে ও সস্তায় স্তন ক্যান্সারের চিকিৎসা,
যেভাবে ধীরে ধীরে বদলে যাচ্ছে ডায়াবেটিসের চিকিৎসা,"ছবির উৎস, Getty Images,বাংলাদেশে অনেকেই জানেন না যে তারা ডায়াবেটিসে আক্রান্ত।,ইন্টারন্যাশনাল ডায়াবেটিস ফেডারেশনের হিসেবে বাংলাদেশে ডায়াবেটিস রোগীর সংখ্যা এক লাখের বেশি। কিন্তু যারা আক্রান্ত তাদের অর্ধেকই জানেন না যে তাদের ডায়াবেটিস রয়েছে।,চিকিৎসকেরা বলছেন বাংলাদেশে বহু মানুষ আছেন যারা রোগটি বড় কোন সমস্যা তৈরি করলে তখন সেটির চিকিৎসা করাতে গিয়ে তারা ডায়াবেটিস সম্পর্কে জানতে পারেন।,যদিও ডায়াবেটিসে আক্রান্তদের চিকিৎসায় অনেক অগ্রসর হয়েছে চিকিৎসা বিজ্ঞান।,ডায়াবেটিসে একবার আক্রান্ত হলে তা চিকিৎসায় পুরোপুরি নিরাময় করা যায় না। ডায়াবেটিস এমন একটি শারীরিক অবস্থা যা একবার ধরা পড়লে সারা জীবনের জন্যে বয়ে বেড়াতে হয়।,প্রতিদিন একবার পেটে ইনসুলিন ইনজেকশন, জীবনযাপনে পরিবর্তন ও নানারকম বিধিনিষেধ মেনে চলা স্বত্বেও রোগটি সারা জীবন ধরে সাথী হয়ে থাকবে এই বিষয়টি খুব পীড়া দেয়, বলছিলেন একটি আন্তর্জাতিক উন্নয়ন সংস্থার কর্মকর্তা শামীম আহসান খান।,“আমার তখন ৩৮ বছর বয়স হবে। কোন ধরনের অসুখ বা শারীরিক সমস্যা ছিল না। হঠাৎ করে শুকিয়ে যেতে শুরু করলাম। কিন্তু খুব খিদে পেত, সারাক্ষণ গলা শুকিয়ে যেত। খুব একটা পাত্তা দেইনি। সহকর্মীদের একজন বলার পর পাড়ার দোকানে সুগার মেপে দেখি গ্লুকোজ লেভেল ২৭। ওই জানলাম যে আমার ডায়াবেটিস আছে।”,ছবির উৎস, Getty Images,ডায়াবেটিস নিয়ন্ত্রণে রেখে স্বাভাবিক জীবন যাপন করা যায়।,মি. খান তারপরও সাত আট বছর নিজের খুব একটা যত্ন নেননি। তবে গত কয়েক বছর হল সম্বিত ফিরে পেয়েছেন।,“আমি এখন নিয়মিত সবকিছু মেনে চলি। ঔষধ খাই। প্রতিদিন নিজেই একবার করে পেটে ইনসুলিন ইনজেকশন পুশ করি। ডায়াবেটিসের সাথে আমাকে বাকি জীবন বসবাস করতে হবে এটা আমি মানসিকভাবে গ্রহণ করে নিয়েছি।,“কিন্তু প্রতিদিন নিয়ম করে একটা ইনজেকশন পেটে পুশ করতে হয় এটা একটা বোঝা। ভালো লাগে না। যদি অন্য কোন বিকল্প থাকতো তাহলে ওটাকে আমি অবশ্যই বাদ দিতাম।”,শামীম আহসান খানের ইচ্ছেটা হয়ত অদূর ভবিষ্যতে বাস্তব রূপ নেবে। ডায়াবেটিসে আক্রান্তদের জীবন সহজ করতে অনেকদূর এগিয়েছে চিকিৎসা বিজ্ঞান।,শেখ রাসেল গ্যাস্ট্রোলিভার ইন্সটিটিউট ও হাসপাতালের মেডিসিন, হরমোন এবং ডায়াবেটিস বিশেষজ্ঞ তানিয়া তোফায়েল বলছেন, “ডায়াবেটিসের চিকিৎসা অনেক উন্নত হয়েছে। যেমন ধরুন আগে সুই দিয়ে ইনজেকশন দিতে হতো। সেই সুই অনেক মোটা ও কষ্টদায়ক ছিল। এখন পেনের মতো ডিভাইস হাতের কাছেই পাওয়া যায়।,ছবির উৎস, Getty Images,ইনসুলিন নিতে এখন সিরিঞ্জের বদলে অনেকেই পেন ডিভাইস ব্যাবহার করেন।,“আবার আগে ইনসুলিন নিয়ে আধা ঘণ্টা অপেক্ষা করতে হতো। এখন এমন ইনসুলিন পাওয়া যায় যা শরীরে দ্রুত কাজ করে। তাই সাথে সাথেই খাবার খাওয়া যায়। তারপর যেমন প্রতিদিন সুইয়ের গুঁতো খেতে কার ভালো লাগে। এখন কিছু ইনসুলিন সপ্তাহে একদিন দিলেই হয়।”,তিনি আরও বলছেন, ডায়াবেটিসের সাথে শরীরের স্থূলতার অনেক বড় সম্পর্ক রয়েছে। একজন ব্যক্তির ওজন যত বেশি, তার ডায়াবেটিসের ঝুঁকিও তত বেশি। আর তাতে এক পর্যায়ে ইনসুলিনের প্রয়োজনীয়তাও বেড়ে যায়।,এখন কিছু ইনজেকশন আছে যা ডায়াবেটিস নিয়ন্ত্রণ করে আবার একই সাথে ওজন কমায়।,“এগুলো খুবই প্রমিসিং ঔষধ। যদিও এগুলোর খরচ এখনো বেশি। আর পশ্চিমা বিশ্বে মাসে একবার ইনসুলিন নিতে হয় তারা এমন ব্যবস্থায় চলে এসেছে। যদিও বাংলাদেশে এটা এখনো পাওয়া যায় না।,“আর মুখে খাওয়ার ইনসুলিন বড়ি বা ক্যাপসুল সেটা হয়ত খুব শীঘ্রই বাজারে বাণিজ্যিকভাবে পাওয়া যাবে। এখনো বাজারে আসেনি”, বলছিলেন তানিয়া তোফায়েল।,ছবির উৎস, Getty Images,ডায়াবেটিসের সাথে শরীরের স্থূলতার অনেক বড় সম্পর্ক রয়েছে।,বাংলাদেশে বহু মানুষ আছেন যারা ডায়াবেটিসকে খুব একটা গুরুত্ব দেন না। একবার ধরা পড়লেও চিকিৎসকের কাছে যেতে চান না। গেলেও পরামর্শ মেনে চলেন না।,অথবা ভেষজ চিকিৎসায় আস্থা রাখাটাই পছন্দ করেন। তেমন একজন খুলনার নিরালা আবাসিক এলাকার বাসিন্দা শাহিন আরা হক।,চিকিৎসকের পরামর্শ মতো ঔষধ খাচ্ছেন ঠিকই। কিন্তু তারা সাথে চলছে আরও অনেক কিছু যার কার্যকারিতা প্রমাণিত নয়।,“আমি মেথি পানিতে ভিজিয়ে রেখে সেই পানিটা খাই। সকালে ঘুম থেকে উঠে খালি পেটে চিরতার পানি খাই। জামের বিচির গুড়ো রাত্রে ভিজিয়ে রেখে সকালে পানিটা খাই। সকালে যে হাঁটতে বের হই, আমাদের গ্রুপে আমার যেসব বান্ধবীরা আছে তারা সবাই বলেছে এগুলোর খুব উপকার আছে। তারা খেয়ে অনেকে ফল পেয়েছে। আমার মনে হয় কোন কিছু বিশ্বাস করে খেলে ফল পাওয়া যায়, এই আস্থাটা আমার আছে।”,তবে চিকিৎসক তাকে বলেছেন একদম নিয়মিত নয়, এগুলো মাঝে মাঝে খেতে।,তানিয়া তোফায়েল বলছেন, “বাংলাদেশে অনেকেই রক্তে গ্লুকোজ কমাতে করল্লার রস খান। ইউটিউবে নানা ভিডিও বা গুগল করে নিজেরা নিজেদের উপর এক্সপেরিমেন্ট চালায়। রক্তে গ্লুকোজ কমে গেলে অনেকে মনে করে বোধ হয় ডায়াবেটিস ভালো হয়ে গেছে। কিন্তু এই রোগ পুরোপুরি সারানো যায় না। তবে এটিকে নিয়ন্ত্রণে রাখা যায়। আর নিয়ন্ত্রণ করে স্বাভাবিক জীবন যাপন করা যায়।”,ছবির উৎস, Getty Images,ডায়াবেটিস রোগীদের জন্য তৈরি হয়েছে কৃত্রিম প্যানক্রিয়াস।,এবছরের মে মাসে ওরামেড ফার্মাসিউটিক্যালস নামের একটি কোম্পানি টাইপ-টু ডায়াবেটিসের জন্য প্রথম মুখে খাওয়ার ইনসুলিন ট্রায়ালের তৃতীয় ধাপ শুরু করেছে।,ছয়মাস ধরে সাতশ জন ডায়াবেটিস রোগীর উপর এর ট্রায়াল চলছে। ইউরোপীয় ইউনিয়নের ওরালিস প্রকল্পের সহায়তায় এই ঔষধটি ডায়াবেটিসের চিকিৎসায় নতুন যুগের উন্মোচন করবে বলে আশা করা হচ্ছে।,২০১৮ সালে ব্রিটেনের কার্ডিফ অ্যান্ড ভেলস ইউনিভার্সিটির একদল গবেষক জানান তারা ডায়াবেটিস রোগীদের শরীরে ইনসুলিন হরমোন উৎপাদন করার সেল পুনরায় তৈরি করতে পারবে এরকম একটি ঔষধ নিয়ে কাজ করছেন।,তারাও মানবদেহে ট্রায়ালের কথা জানিয়েছেন। ইনসুলিন হরমোন তৈরি হয় প্যানক্রিয়াসে।,আর একটি অগ্রগতি হচ্ছে কৃত্রিম প্যানক্রিয়াস। মার্কিন ফুড অ্যান্ড ড্রাগ অ্যাডমিনিস্ট্রেশন এটি তৈরির অনুমোদন দিয়েছে।,সংস্থাটির ওয়েবসাইটে বলা হয়েছে ডিভাইসটির একটি অংশ ডায়াবেটিক রোগীদের শরীরের ত্বকের নিচে লাগানো থাকে। এতে সেন্সর রয়েছে যা শরীরে গ্লুকোজের মাত্রা বুঝতে পারে এবং সংকেত পাঠাতে পারে।,মোবাইল ফোনে সংকেত পাঠানোর ব্যবস্থাও এখন তৈরি হয়েছে। কতটুকু ইনসুলিন দরকার হবে সেই সংকেত চলে যায় যন্ত্রটির আর একটি অংশ ‘ইনসুলিন পাম্পে’। এই পাম্প সঠিক মাত্রার ইনসুলিন ত্বকের নিচে ‘টিস্যুতে’ পৌঁছে দেয়।"
"অ্যান্টিবায়োটিক রেসিস্ট্যান্স কী, বুঝবেন কিভাবে","ছবির উৎস, Getty Images,ও﻿ষুধ,বিশ্বব্যাপী স্বাস্থ্যখাতে নতুন এক অশনি সংকেত অ্যান্টিবায়োটিক রেসিস্ট্যান্স। অ্যান্টিবায়োটিক বা অ্যান্টিমাইক্রোবায়াল ড্রাগ এমন এক ধরণের ওষুধ যা ব্যাকটেরিয়া সংক্রমিত রোগের বিরুদ্ধে লড়াই করে। 
এই ওষুধ মানুষ বা পশুর দেহে প্রয়োগ করলে এটি শরীরের ব্যাকটেরিয়া মেরে ফেলে বা এর বংশবিস্তার রোধের মাধ্যমে রোগ নিরাময় করে।
তাই ব্যাকটেরিয়ার আক্রমণ থেকে রক্ষা পেতে অ্যান্টিবায়োটিককে চিকিৎসা বিজ্ঞানের এক আশীর্বাদ বলা যায়।,কিন্তু সেই অ্যান্টিবায়োটিক সঠিক উপায়ে প্রয়োগ না করলে হিতে বিপরীত হতে পারে।,অ্যান্টিবায়োটিক রেসিস্ট্যান্স কী?,যদি কারও শরীরে ব্যাকটেরিয়ার সংক্রমণজনিত রোগ হয় এবং সেই রোগ নিরাময়ে কেউ যদি চিকিৎসকের পরামর্শমত সঠিক পরিমাণে এবং পর্যাপ্ত সময় ধরে অ্যান্টিবায়োটিক গ্রহণ না করেন তাহলে ব্যাকটেরিয়াগুলো পুরোপুরি ধ্বংস না হয়ে উল্টো আরও শক্তিশালী হয়ে উঠতে পারে।,তখন এই ব্যাকটেরিয়ার বিরুদ্ধে ওই অ্যান্টিবায়োটিক পরে আর কাজ করে না।,অ্যান্টিবায়োটিক প্রয়োগের পরেও ব্যাকটেরিয়ার এই টিকে থাকার ক্ষমতা অর্জনকে অ্যান্টিবায়োটিক রেজিস্ট্যান্স বলা হয়।,বাংলাদেশের বিভিন্ন হাসপাতালে সাধারণ রোগ নিয়ে চিকিৎসা নেয়া অনেক মানুষের মধ্যে এই অ্যান্টিবায়োটিক রেসিস্ট্যান্স দেখা দিয়েছে।
এর ফলে রোগীর আগে যে অ্যান্টিবায়োটিকে রোগ সারতো, এখন আর সেটি কাজ করছে না। না হলে অত্যন্ত উচ্চ মাত্রার অ্যান্টিবায়োটিক দিতে হচ্ছে।,এভাবে মানুষের শরীরের রোগপ্রতিরোধ ক্ষমতা ক্রমে হ্রাস পাচ্ছে বলে জানান বঙ্গবন্ধু শেখ মুজিব মেডিকেল কলেজ হাসপাতালের মেডিসিন বিভাগের সহকারী অধ্যাপক তৌফিক আহমেদ।,ছবির উৎস, Getty Images,মুরগির খাবারেও অ্যান্টিবায়োটিকের ব্যবহার হয়।,অ্যান্টিবায়োটিক রেসিস্ট্যান্সের কারণ কী?,বিশ্বে নতুন অ্যান্টিবায়োটিক তৈরি হতে যে সময় লাগে ওই সময়ের মধ্যেই কয়েকগুণ বেশি হারে বাড়ছে অ্যান্টিবায়োটিক রেসিস্ট্যান্স। যার ফলে অদূর ভবিষ্যতে সামান্য হাঁচি-কাশি-জ্বরেও মানুষের মৃত্যু-ঝুঁকি হতে পারে বলেও আশঙ্কা করা হচ্ছে।
এ ব্যাপারে মি. আহমেদ বলেন, অ্যান্টিবায়োটিক রেসিস্ট্যান্সের সবচেয়ে বড় কারণ হল সাম্প্রতিক সময়ে অত্যধিক মাত্রায় অ্যান্টিবায়োটিকের ব্যবহার। 
অনেকেই জ্বর, মাথাব্যথা হলেই চিকিৎসকের ব্যবস্থাপত্র ছাড়াই অ্যান্টিবায়োটিক সেবন করেন। 
আবার অনেকে চিকিৎসকের পরামর্শে অ্যান্টিবায়োটিক নিলেও সেটার পূর্ণ কোর্স সম্পন্ন করেন না।,কয়েকটি খাবার পর ভালো বোধ করলেই ছেড়ে দেন। ফলে ওই ব্যাকটেরিয়ার বিরুদ্ধে অ্যান্টিবায়োটিকের আর কোন প্রভাব থাকে না বলে জানিয়েছেন মি. আহমেদ।,প্রকৃতি পরিবেশ থেকে হতে পারে অ্যান্টিবায়োটিক রেসিস্ট্যান্স,আবার অ্যান্টিবায়োটিক নিয়ম করে খাওয়া সত্ত্বেও শিশুরাও অ্যান্টিবায়োটিক রেসিস্ট্যান্সের শিকার হতে পারেন। 
এর কারণ প্রকৃতি-পরিবেশে অ্যান্টিবায়োটিকের বিস্তার।
ইদানীং মাছ, হাঁস, মুরগি বা গরুকে অ্যান্টিবায়োটিক-যুক্ত খাবার দেয়া হয়। আবার শাকসবজির উৎপাদনেও ব্যবহার হয় অ্যান্টিবায়োটিক। 
ফলে এসব প্রাণীর কাঁচা মাংসের সংস্পর্শে এলে, আধা-সেদ্ধ অবস্থায় খেলে অ্যান্টিবায়োটিক রেসিস্ট্যান্স তৈরি হওয়ার আশঙ্কা থাকে, বলছেন মি. আহমেদ।,ছবির উৎস, Getty Images,ল্যাব পরীক্ষা।,অ্যান্টিবায়োটিক রেসিস্ট্যান্সের পরীক্ষা,কিন্তু কোন ব্যক্তি অ্যান্টিবায়োটিক রেসিস্ট্যান্ট কিনা সেটা বুঝতে কালচার অ্যান্ড সেন্সিটিভিটি পরীক্ষা করানো হয়।,এ ব্যাপারে মি. আহমেদ বলেন, রোগীর রোগের ধরণ বুঝে এক বা একাধিক নমুনা সংগ্রহ করা হয়। সাধারণত, রোগীর রক্ত, প্রস্রাব, কফ, লালা না হলে পুঁজ থেকে নমুনা সংগ্রহ করা হয়ে থাকে।
সাধারণত জ্বর বা টাইফয়েডের লক্ষণ দেখা দিয়ে রক্ত পরীক্ষা করা হয়, ইউরিন ইনফেকশন, কিডনি জটিলতা হলে প্রস্রাবের নমুনা, ফুসফুস জনিত রোগ হলে লালা বা কফ আবার শরীরের কোথাও ফোঁড়া হলে- সেখান থেকে পুঁজের নমুনা নিয়ে পরীক্ষা করা হয় বলে জাননা মি. আহমেদ।,ল্যাবে মাইক্রোবায়োলজিস্টরা সেই নমুনা পরীক্ষা-নিরীক্ষা করেন। 
সেখানকার ব্যাকটেরিয়ার উপর বিভিন্ন প্রকার অ্যান্টিবায়োটিক দিয়ে দেখা হয় যে, সেই অ্যান্টিবায়োটিক ব্যাকটেরিয়াগুলোকে মেরে ফেলতে কিংবা এর বংশবিস্তার আটকাতে সক্ষম কি না।,এজন্য ল্যাবে গোলাকার চাকতি বা পেট্রি ডিশের ওপর ওই ব্যাকটেরিয়ার নমুনা কিছু দূর পর পর নেয়া হয়। সেই নমুনাগুলোর মাঝখানে ব্যাকটেরিয়ার কিছু খাবার বা কালচার মিডিয়াম দেয়া হয় যেন ব্যাকটেরিয়াগুলো দ্রুত বেড়ে ওঠে।,এরপর বেড়ে ওঠা ব্যাকটেরিয়ার একেকটির ভাগের ওপর একেক ধরণের অ্যান্টিবায়োটিক দেয়া হয়। 
তখন যদি দেখা যায় অ্যান্টিবায়োটিকের প্রভাবে ব্যাকটেরিয়া মারা যাচ্ছে বা বৃদ্ধি বন্ধ হয়ে যাচ্ছে তাহলে সেই ওষুধের পাশে লেখা হয় ইংরেজি অক্ষর ‘এস’ বা সেনসিটিভ।,যদি ব্যাকটেরিয়া মারতে না পারে তখন লেখা হয় ইংরেজি অক্ষর ‘আর’ বা রেসিস্টান্ট অর্থাৎ এই অ্যান্টিবায়োটিকটি ব্যাকটেরিয়া মারতে সক্ষম নয়। এটি ব্যাকটেরিয়া প্রতিরোধী।
আবার ব্যাকটেরিয়াগুলোর বৃদ্ধি কমে গেলে লেখা হবে “আই” বা ‘ইন্টারমিডিয়েট’। অর্থাৎ এই ওষুধটি বেশি ডোজে কাজ করতে পারে।,ছবির উৎস, Getty Images,নমুনা দেয়ার পর রিপোর্ট হাতে পেতে ৭২ ঘণ্টার মতো সময় লাগতে পারে।
সেই রিপোর্টের ফলাফলের প্রেক্ষিতে চিকিৎসক সিদ্ধান্ত নিয়ে থাকেন রোগীকে কোন অ্যান্টিবায়োটিক কেমন মাত্রায় দিতে হবে।,মি. আহমেদ তার ক্যারিয়ারে এমন অনেক রিপোর্ট হাতে পেয়েছেন যেখানে একজন রোগী ২০/২৫টি অ্যান্টিবায়োটিক রেসিস্ট্যান্ট অর্থাৎ কোন অ্যান্টিবায়োটিক কোনটি কাজ করবে না। বা সাধারণ রোগের ক্ষেত্রেও শুধুমাত্র হাই পাওয়ারের ওষুধ কাজ করছে।
তবে কোন রোগী যদি আগেই অ্যান্টিবায়োটিক খেয়ে ফেলেন তাহলে ব্যাকটেরিয়া বিশেষ পদ্ধতিতে আইসোলেট করে পরীক্ষা করা হয় বলে জানান তিনি।"
রোগব্যাধি: আগামী দিনগুলোয় কেন বাড়বে নতুন নানা রোগের ঝুঁকি,
ল্যাবরেটরিতে তৈরি করা রক্ত এই প্রথম দেয়া হলো মানুষের দেহে,
"ডেঙ্গুর শক সিনড্রোম ও হেমারেজিক কী, কেন হয়? ","ছবির উৎস, Getty Images,বাংলাদেশে এবছর ডেঙ্গু মারাত্মক রূপ ধারণ করেছে।,বাংলাদেশে নভেম্বরে মাসে এসেও ব্যাপকভাবে ডেঙ্গু সংক্রমণ দেখা যাচ্ছে। স্বাস্থ্য অধিদপ্তরের তথ্য অনুযায়ী ডেঙ্গু আক্রান্ত হয়ে হাসপাতালে ভর্তি রোগীর সংখ্যা প্রতিদিন এক হাজারের মতো। এই চিত্র গত কয়েকদিন ধরে দেখা যাচ্ছে।,এবছরে ডেঙ্গুতে যত মানুষ মারা গেছেন তা অন্য যেকোনো বছরের তুলনায় বেশি। বেশিরভাগের মৃত্যু হয়েছে অক্টোবর মাসে। শক সিনড্রোম ও হেমারেজিক অবস্থা ডেঙ্গুতে মৃত্যুর অন্যতম কারণ।,ঢাকায় ডেঙ্গু রোগীদের একটি বড় অংশের চিকিৎসা দিচ্ছে মুগদা জেনারেল হাসপাতাল।,সেখানকার পরিচালক নিয়াতুজ্জামান বলছেন, ডেঙ্গু জ্বর সাধারণত এক থেকে দুই সপ্তাহের মধ্যে সেরে যায়।,ডেঙ্গুর চারটি ধরন রয়েছে। যারা আগে একবার ডেঙ্গুতে আক্রান্ত হয়েছেন এবং দ্বিতীয়বার এই চারটি ধরনের অন্য আর একটি দ্বারা আক্রান্ত হয়েছেন তাদের ঝুঁকি অনেক বেশি।,তারাই মূলত শক সিন্ড্রোমে চলে যান বেশি।,মি. নিয়াতুজ্জামান বলছেন, “দ্বিতীয়বার ডেঙ্গুর অন্য ধরন দিয়ে যদি সে আক্রান্ত হয় তখন শরীরে এক ধরনের প্রতিক্রিয়া হয়। এতে পালস, রক্তচাপ কমে যায়, শরীরে বিভিন্ন অঙ্গ প্রত্যঙ্গে রক্ত চলাচল কমে যায়, বিভিন্ন অঙ্গের কোষে যে অক্সিজেন দরকার সেই অক্সিজেন চলাচল বন্ধ হয়ে যায়। এমন অবস্থায় গুরুত্বপূর্ণ অঙ্গ যেমন ব্রেইন, হার্ট, কিডনি এগুলোতে রক্ত ও অক্সিজেন পৌঁছাতে না পেরে অঙ্গগুলো আস্তে আস্তে কাজ করা বন্ধ হয়ে যেতে থাকে""।,""ডেঙ্গু আক্রান্ত রোগী শক সিনড্রোম হলে তাকে বাঁচানো কঠিন”, বলেন মি. নিয়াতুজ্জামান।,দ্বিতীয়বার আক্রান্ত না হয়েও শক সিনড্রোম হতে পারে।,যারা আগে থেকেই বড় কোন অসুখে ভুগছেন, যাদের শরীরে রোগ প্রতিরোধ ক্ষমতা কম তাদেরও শক সিনড্রোমের ঝুঁকি বেশি।,ছবির উৎস, Getty Images,প্রতিদিন এক হাজারের মতো ডেঙ্গু রোগী হাসপাতালে ভর্তি হচ্ছেন।,ডেঙ্গু রোগীদের শরীরের যে কোন জায়গা থেকে অস্বাভাবিক রক্তক্ষরণ মানেই তা হেমারেজিক ডেঙ্গুতে রূপ নিয়েছে, বলছিলেন মি. নিয়াতুজ্জামান।,হেমারেজিক ডেঙ্গুতে চোখে রক্ত জমে যায়; নাক, দাঁতের মাড়ি থেকে রক্ত ঝরে; মুখ, কান, মলদ্বার এরকম যেকোনো একটি বা একের অধিক অংশ দিয়ে রক্ত বের হতে পারে। বমি ও কাশির সাথেও রক্ত বের হতে পারে।,“সহজ ভাষায় একজন সুস্থ মানুষের শরীরে দেড় লাখ থেকে চার লাখ প্ল্যাটিলেট থাকে। শরীরে রক্ত জমাট বাধার ক্ষেত্রে প্ল্যাটিলেট খুব গুরুত্বপূর্ণ ভূমিকা পালন করে। প্ল্যাটিলেট যখন কুড়ি হাজারের নিচে নেমে যাবে তখন রক্ত জমাট বাধার প্রক্রিয়া নিষ্ক্রিয় হয়ে যায়। তখনই এসে নানা জায়গা থেকে রক্ত বের হয়ে আসে।”,কথা হচ্ছিল ঢাকায় বিদেশি একটি ব্যাংকে কর্মরত তামান্না আহমেদের সাথে।,তিনি বলছিলেন, ১০৩ ডিগ্রি জ্বর হওয়ার দ্বিতীয় দিনে ডেঙ্গু পরীক্ষায় প্ল্যাটিলেট স্বাভাবিক ছিল।,তিনদিন পর সকালের দিকে আবার পরীক্ষা করে দেখা গেল ২৬ হাজার। সেদিনই রাতে ৯ হাজারে নেমে গেল প্ল্যাটিলেট।,“আমার পেশাবের সাথে রক্ত বের হচ্ছিল। প্রথমে ভেবেছিলাম পিরিয়ড হয়েছে। তারপর খেয়াল করলাম শুধু যখন পেশাব করছি তখন রক্ত যাচ্ছে। আমাকে ডাক্তার বলল ডেঙ্গু হলে এটা হয়। বেশ ভয় পেয়ে গিয়েছিলাম। ডাক্তার পরে আমাকে কি একটা ইনজেকশন দিয়েছিল।”,ছবির উৎস, Getty Images,ডেঙ্গু একটি মশাবাহিত রোগ।,হেমারেজিক ডেঙ্গু হলে মেয়েদের মেনোরেজিয়া হতে পারে।,যার একজন ভুক্তভোগী ঢাকার একটি রিয়েল এস্টেট কোম্পানির কর্মী তানজিয়া ইসলাম।,তিনি বলছেন, “ডেঙ্গু হওয়ার সাত দিন আগে মাসিক শেষ হয়েছে। ডেঙ্গু হওয়ার তিনদিনের মাথায় দেখি আবার পিরিয়ড হচ্ছে। তিনদিনের মতো থাকলো, বন্ধ হয়ে গেল কিন্তু তারপর আবার দেখি সপ্তাহখানেক পর পিরিয়ড হচ্ছে। রীতিমতো তিন সপ্তাহে তিনবার। খুব টেনশনে পড়ে গিয়েছিলাম।”,মি. নিয়াতুজ্জামান বলছেন, হেমারেজিক ডেঙ্গুতে একটা পর্যায়ে অন্য কারো রক্ত থেকে  প্ল্যাটিলেট নিয়ে রোগীর শরীরে প্ল্যাটিলেট দিতে হয়।,“হেমারেজিক ডেঙ্গুতে রোগী মারা যেতে পারে যদি ব্রেইন, হার্ট এরকম গুরুত্বপূর্ণ অঙ্গে যদি হেমারেজ হয়। শক সিনড্রোম ও হেমারেজিক ডেঙ্গু একসাথেও হতে পারে। হেমারেজিক ডেঙ্গুর চাইতে শক সিনড্রোমে মৃত্যু বেশি হয়। হেমারেজিক ডেঙ্গু আগে বোঝা যায় কারণ রক্তপাতই মানুষকে উদ্বিগ্ন করে তোলে এবং টেস্টে  প্ল্যাটিলেট কমে গেলে সাবধান হওয়ার সুযোগ রয়েছে।”, বলছিলেন এই চিকিৎসক।,ছবির উৎস, Getty Images,যারা বড় কোন অসুখে ভুগছেন অথবা যাদের রোগ প্রতিরোধ ক্ষমতা কম তাদের শক সিনড্রোমের ঝুঁকি বেশি।,চিকিৎসকেরা বলছেন, ‘ক্লাসিকাল’ ডেঙ্গুর লক্ষণ হচ্ছে জ্বর, হাড় ও পেশিতে ব্যথা, শরীরে ফুসকুড়ি, চোখের পেছনে ব্যথা ইত্যাদি।,এর আগে ডেঙ্গু জ্বরে অনেক বেশি তাপমাত্রা দেখা যেত। এবার কিছু নতুন উপসর্গ লক্ষ করছেন তারা। যেমন অনেক সময় খুব একটা বেশি জ্বর থাকছে না।,কিন্তু  প্ল্যাটিলেট কমে যাচ্ছে। ডায়রিয়া, বমি, নিউমোনিয়া, মাথা ব্যথা এগুলোকে নতুন উপসর্গ বলছেন চিকিৎসকেরা।"
"আলঝেইমার্স: ভুলে যাওয়া রোগটি কেন হয়, স্মৃতি হারানোর সাথে পার্থক্য কী?",
"নিরাপদ খাদ্য : খাদ্যে ক্ষতিকর ধাতব কিভাবে ঢোকে, শরীরের কী ক্ষতি করে",
স্নায়ুরোগের জিন চিকিৎসা : বাংলাদেশের এক দরিদ্র শিশু যেভাবে বিনামূল্যে ২২ কোটি টাকার জীবনরক্ষাকারী ইনজেকশন পেল,
